,log_moneyness,time to maturity (years)
0,0.0432224577949222,0.019104669097754153
1,0.13486695439525972,0.0482923399809579
2,0.044215347210031286,0.0879055180690793
3,-0.0016838202274775688,0.019084792198072516
4,0.005376125272189822,0.07329750549048192
5,0.11481991095709451,0.0943146129713122
6,0.021864972557909056,0.03344944776296133
7,0.055159817990107364,0.025364121396075544
8,0.042887295142846546,0.022977638418643555
9,0.006571587812701571,0.006968815873530602
10,0.06471505682772577,0.033160338532784064
11,0.11542620668821066,0.003745348148159024
12,0.08253424263530784,0.014343784213594595
13,0.11200596272599793,0.03139008810586478
14,0.046751223290306704,0.00222984153642046
15,0.04643960079763827,0.03874027272452577
16,0.06845662060514489,0.01953706039691812
17,0.10251473111216242,0.06267527425766017
18,0.03918754074960035,0.007541956546664449
19,0.022431852447657545,0.014854139865380886
20,0.14219202179390117,0.02651846871006446
21,0.08333987295051981,0.02614874152511709
22,0.06620963395970988,0.10428975584449651
23,0.06706873878861205,0.028678890466674038
24,0.002879908801055476,0.07985445231913013
25,0.050752705448712285,0.016833698990857186
26,0.07104968889321595,0.0243359357363244
27,0.060394050378982,0.019054279067376674
28,0.10920238958599114,0.13087197212719415
29,0.031256526995323414,0.040044303969458406
30,0.006245349611861774,0.04154027261808934
31,0.0871741706734081,0.04583269836512846
32,0.0014085376654199878,0.05170868301331718
33,0.046892836399855246,0.053112928001567285
34,0.006081525898746148,0.044709484133798716
35,0.0741978153387497,0.01527900694795625
36,0.05282950019759865,0.044453624465717184
37,0.05136423249798578,0.024223775140333043
38,0.04727269103251314,0.039937578592220684
39,0.09659328738582841,0.018272482761570962
40,0.0038899712336879135,0.08337535955945799
41,0.12896198767429418,0.13708823959776573
42,0.062650635900746,0.006859985103962931
43,0.1807633361681847,0.03870454257453272
44,0.02014649369796767,0.07898802386677103
45,0.03959178320159865,0.0180033940347282
46,0.1607451048754935,0.0051997552372589325
47,0.08213944756364651,0.08865546951044422
48,0.01257481460607757,0.038252125509487894
49,0.11765905942097153,0.08159702120963958
